RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31
102001,0,United States,country,,1219.7368466151997,1225.884374928989,1234.2501045877289,1243.952712627948,1253.1671493178314,1261.4700787438449,1267.114430187618,1270.3042047570063,1271.6314224247908,1271.6471624784263,1272.2291532044096,1273.4194816617212,1277.2884332631525,1282.430580964411,1288.8155925317485,1297.3282391691778,1306.0560005456812,1314.1555240244816,1318.3443543783856,1319.9553793749878,1318.8208187893483,1317.1521900892149,1315.6749629173214,1315.8946096384363,1321.2693170745831,1331.195544475794,1344.1152966233426,1355.748038899289,1365.4682416826006,1373.1298944013383,1377.6990617213348,1379.2525923320125,1380.0342014585551,1379.7918971778877,1380.62501394696,1382.0485341334615,1386.6246070026014,1394.0812252247151,1404.8317934068116,1415.6207522900063,1424.8976683578976,1431.8959097285103,1436.0412159595835,1438.4793247059865,1438.6375986841622,1439.2453274007626,1440.8476922714754,1443.483196050296,1448.0584483787845,1455.4176735242863,1466.6949496592747,1477.991161094839,1488.2055400542633,1495.5216899176655,1500.096176534072,1501.9657483042358,1502.226178106282,1502.4988118129215,1503.4961778540608,1504.9862092627673,1510.303510680511,1518.9420183183981,1529.1249639019711,1534.9299502532538,1541.2412070927935,1549.6360125711324,1562.9822682209578,1574.7946344838879,1585.0334971395032,1593.1211791895726,1599.5597778026092,1606.4528234986349,1617.0185241000213,1631.0762653765325,1647.8539663210179,1666.8272818853827,1689.7899819528548,1713.79050363375,1736.7639076794164,1758.180210072618,1776.0573613672132,1789.8278387955284,1800.2302102620918,1811.2434192422716,1824.601743137054,1841.885464998707,1860.918139947423,1881.5627604094957,1899.889114498482,1917.7855426183578,1932.0800671420616,1942.9269328403498,1947.6402644912669,1950.0261479048345,1949.1464602019412,1951.691762926239,1956.3904193174487,1965.5863248196363,1978.474740376727,1992.066603866386,2005.051714703279,2014.8878985948768,2024.1515548413136,2031.3690718193718,2035.4359001921412,2036.3025713487712,2035.9626710576292,2038.1416451884186,2045.3027878068276,2056.355165161381,2070.5774865666913,2082.938120841287,2093.7885141884826,2102.337525212285,2109.6914089020793,2115.029488238783,2116.695996516361,2116.5464744993155,2117.977919808827,2121.018992763622,2129.3656629152374,2140.1100143638073,2153.201953799771,2163.857934595122,2171.820669900892,2177.20394658161,2180.459502910185,2182.780218761388,2183.9233515529427,2183.341781882796,2181.4748447675556,2181.008719564448
394913,1,"New York, NY",msa,NY,2051.9005379747946,2073.6744297403857,2091.6986955258258,2102.9856782940187,2104.5831434399083,2118.269888009137,2123.4776431914106,2125.1005222695126,2124.9819928040774,2125.5915451102414,2128.227393249146,2132.828484951218,2140.757063988343,2152.5157054273595,2158.555609967056,2171.0701290316706,2180.5666453287167,2186.7452245685154,2191.1074615771277,2187.435224178906,2186.304182193497,2181.851600054731,2193.554153489656,2200.651327571604,2217.247086513724,2226.7708232388104,2244.7035549864813,2256.8089325989645,2268.555735909364,2274.221501868471,2280.1312101932344,2275.1325663956372,2296.49143566314,2305.2923587792625,2305.4566054147704,2285.3946290060576,2283.697430153044,2297.616462708744,2310.2947486542002,2326.4009201039867,2336.7390847650768,2343.767451954579,2344.469493712956,2350.57470600852,2353.6719217400114,2353.3437289516905,2354.8492643859818,2355.6240550717707,2358.7779560116683,2374.3239291156665,2397.351476093845,2416.245395942124,2426.8412866962935,2434.671314445382,2434.2810668171005,2428.4412971488505,2413.1686859863244,2425.2829300289927,2430.017416440985,2446.53888370075,2445.1698472121398,2456.7311507453173,2472.9384830070526,2491.8639264557783,2506.8884795393838,2518.5417989185516,2528.991633960745,2536.11843206942,2537.8314532962627,2526.6582633949456,2542.054611658615,2543.600131687391,2572.06387684101,2588.555463313568,2633.78727576166,2662.0746284500215,2682.2901547922133,2703.0218272065504,2722.7204438634762,2739.730263710165,2733.703830595389,2749.795144496856,2748.5775506082573,2785.343233663412,2811.802610964667,2859.82107121804,2893.6025326707945,2925.209825419936,2962.7516025556956,2987.1243126405075,3015.1389722687804,3028.2591604595627,3032.654474766332,3027.7511347622535,3024.75153524632,3028.988078042542,3041.7022421145098,3070.8591823109714,3115.496190662523,3156.592101199103,3182.3970547189556,3184.471527915644,3196.195949778623,3202.990220786431,3209.45226114658,3200.5146120879017,3202.948577225838,3224.011275177025,3254.360336035462,3279.5034622116223,3313.521714668181,3329.0691233470816,3341.5978397266267,3346.554175367391,3362.8174500112627,3375.30226416166,3366.294044382199,3358.5704438554126,3366.211863592457,3398.9248968416496,3418.2084833257622,3414.621749956744,3419.4565019583774,3440.4349067553344,3475.0284219719833,3493.4613890396517,3499.0617607247477,3505.398741394546,3498.47809350852,3506.18954807082,3520.6383350101282,3527.294931344541
753899,2,"Los Angeles, CA",msa,CA,2468.7100624118266,2483.671103183342,2503.0689687288595,2518.2590473471623,2540.4581986552193,2556.814000537007,2574.2369478089586,2580.2026396441297,2590.3005695511993,2593.305002120822,2592.799235254548,2598.049359412098,2612.0638815780335,2631.8982383991665,2652.4461975400513,2667.689965921813,2697.7345995010364,2712.685625952897,2727.419604144084,2726.1465348851134,2723.863543116136,2716.8290157242604,2708.542032247162,2709.447879721969,2731.018217657864,2759.652463858786,2790.6847770122254,2814.02112633775,2836.5999353373713,2847.6690434201396,2858.2984307600286,2858.991152854418,2863.8059513587873,2858.2974330470447,2864.716986823113,2868.731048738003,2884.225932108359,2898.770809448837,2921.2127133412064,2940.764112598209,2956.7965494061577,2971.7083902922714,2980.3418242546268,2983.538839884188,2986.5146680962257,2992.6776190017335,3008.5957008180244,3011.3516999190233,3019.2074050564534,3021.4349256326204,3048.8453423741703,3062.9958008148737,3089.3740813854147,3095.490453108205,3106.162568690703,3102.961930415073,3104.0657356102793,3106.3801442232802,3111.6650678085944,3115.6121327063474,3124.790965456318,3140.0234704761842,3147.7289077455457,3140.609311624026,3139.9693925649503,3156.254626408566,3191.1225053104686,3204.454625505847,3217.340621032053,3219.8010360502167,3239.469822149651,3247.672424071458,3278.0072392816865,3297.9109076958503,3336.6350618336996,3356.4830541082342,3388.123275406832,3416.62007414873,3449.8339375191413,3494.449103838234,3531.4275494778194,3558.901719409848,3578.6630927791102,3602.809587782524,3633.7425635105897,3675.0691474125933,3719.654015884817,3763.4108835776283,3797.7251144989796,3826.2575761863504,3852.6760797712213,3860.9556620115977,3865.0691283965352,3868.6539677140854,3875.8852366026595,3872.6571025436183,3879.928095141207,3886.66438414036,3916.7964394810083,3944.877347840763,3973.0004438292112,3997.7160133709194,4015.0124318559388,4034.6141503142508,4035.288797498725,4033.8566608388705,4033.970836870802,4045.0028515791855,4064.9180216576847,4087.7059539473785,4112.462580655684,4131.764780532096,4143.11754764802,4159.410332219121,4176.837119502568,4189.489752917244,4192.898813973159,4188.310388478361,4192.054992048362,4194.689737084738,,4334.604042368708,4392.124430732872,4371.402469812096,4363.379028623619,4361.811966080603,4359.68961692229,4357.621243695663,4353.001229945386,4344.573892870222,4344.353058952654,4331.906179003111
394463,3,"Chicago, IL",msa,IL,1412.9250742246247,1419.169659405665,1427.1203714248722,1439.4972234532515,1450.3689836237252,1459.2158403073404,1461.2645030196188,1462.0861502773523,1457.44193998453,1450.6531307605194,1446.6336011525036,1450.9494212503296,1458.2749624443402,1465.7405838357647,1474.302508777873,1483.1904472711162,1490.1964536478897,1493.8579162999754,1497.2052489129367,1500.9858836374672,1497.3652985136018,1490.2758995677038,1482.890738839165,1476.7387547015776,1484.4700762464597,1494.6998902841517,1512.36028467339,1525.0251254965106,1536.5714583174486,1542.2808356502665,1543.7357340247643,1540.0969538675452,1536.9254975306908,1528.9575962306005,1525.7341092496608,1524.389188689363,1529.152084044859,1537.1511177374898,1550.648509997798,1567.4815176518862,1577.8112765556052,1583.715242010199,1582.1264980411213,1582.0866280487971,1580.4703213068644,1578.2577929904128,1574.1291334677273,1569.3367693738915,1575.9551556935621,1582.0559764786096,1596.5565431998905,1606.8600706682828,1619.5014560106486,1626.111603486896,1629.2178189844392,1628.6473488682163,1626.8914959838532,1622.7927752732508,1618.3150285237466,1614.4876355704898,1616.7942703830777,1628.9511740736793,1643.9171257700598,1654.3505487237662,1658.304038854873,1665.2056090730416,1674.4790758202898,1685.2348612605817,1685.5180560812628,1685.4615726763757,1684.9932905622186,1691.8623262621977,1703.5165382276346,1715.3323948140426,1729.465775040346,1743.979702522494,1765.1271412184412,1784.6174324913643,1800.3672976816924,1812.517397266472,1828.959772080857,1838.949988485706,1848.4546622390492,1851.4255219848976,1855.4801093090107,1861.5980740909563,1880.9857145607064,1905.7411724811413,1934.844393021804,1951.6522192659045,1967.4112833990685,1976.5363800332977,1981.9576067869536,1986.3579897348352,1982.2648086500571,1990.3163276466778,2000.4196270958435,2016.4969765104795,2028.3495031853572,2045.4841789451593,2063.6916017363897,2083.8808371873156,2095.921301503902,2107.699263078706,2110.882937706696,2115.706799674555,2121.4015004101957,2131.662027632114,2144.594175166948,2155.2066089551063,2174.0752524416694,2193.025113152326,2210.477649806996,2222.5514364935157,2235.895343680499,2249.9144636076376,2257.8340667087364,2262.006997063014,2263.90207909432,2273.9285208419647,2282.3813705059165,2304.293763443562,2320.1724516722024,2335.313482706543,2346.684808217554,2355.452452079793,2373.8093206576596,2378.700139402272,2385.7482921537553,2378.994134186787,2378.676688643332,2375.586809545435
394514,4,"Dallas, TX",msa,TX,1362.9568727974852,1371.2264701125061,1381.051439270109,1394.360522584417,1406.5575820280894,1417.276424819691,1426.276624605515,1429.0638235586155,1429.750183245199,1429.2208515708885,1429.6239104569295,1431.308000466652,1433.9043120050096,1442.9859710983537,1452.7766967824266,1465.56905181377,1476.189111453262,1486.399538333812,1492.5408206299026,1495.5290496816676,1494.4883227169555,1491.7923079456689,1488.7381833287993,1488.6126334774704,1496.17577001106,1506.4523558127823,1521.3473213434613,1533.1589375409126,1546.0196774796314,1553.305362813188,1559.0247024515033,1561.2711740179102,1560.605037558463,1559.4437140204027,1558.7813107262086,1561.7500983973644,1566.9312810460665,1575.2935909465577,1583.4632747939847,1594.3788606440175,1601.4897716933324,1611.144392192674,1612.7302034398235,1615.5742500174908,1615.1133661910221,1615.7410290948205,1613.6127525839177,1615.0843170576713,1621.0065410257193,1629.0602395594926,1638.9626303903424,1648.9043471993107,1661.4443518013577,1668.177860617047,1670.6849194866493,1670.4285232819977,1670.5259230490174,1672.06883536258,1674.7818640537475,1673.1405489142073,1675.9891677599144,1680.576105474414,1692.628544344808,1697.6418816766927,1704.2615929894298,1712.1310165532125,1724.636643355327,1733.7055017559153,1741.9824845844876,1751.0025049136912,1761.734754942045,1771.2172964934537,1784.027708555024,1798.0302126263643,1815.439191235002,1836.9790171374657,1865.17493342915,1895.3099300990039,1923.4598969513127,1948.0408993859899,1969.6525572124858,1989.199491749919,1999.4042728221464,2007.1100166814615,2017.0479167314827,2035.996077444561,2058.362899570954,2080.3972315437227,2103.4532284521742,2129.558973570816,2148.324417568523,2158.2531566565854,2159.28159295512,2161.540637895275,2163.8830578992543,2166.945547570993,2170.1513105823656,2175.8668379538603,2187.403454966505,2197.35090085729,2211.745214047837,2223.357678462944,2235.145141609985,2238.8215968426794,2236.972103941974,2229.926097274362,2229.3493337069613,2228.8401105916278,2235.7341326024853,2243.4734912285617,2258.9158421258203,2270.756464103268,2276.8756333882566,2284.650868344222,2288.127442474943,2290.881941468395,2285.5293690415274,2278.3103469362695,2271.9639391678784,2267.9136385985435,2273.7179527884155,2287.5518572532173,2301.4028133147503,2312.824302320404,2316.9750726970165,2319.4251338721197,2316.686753744989,2309.203410990546,2307.348451625973,2305.6947465882977,2302.9285151120944,2297.0987625150324
394692,5,"Houston, TX",msa,TX,1500.342978937749,1504.189431392248,1511.6879616721258,1523.0175518871065,1535.1615351746425,1545.3814590741267,1547.5632124047202,1546.8456253746683,1542.181671653625,1538.24629923331,1535.054820650644,1531.0823529510192,1532.2443148886912,1532.0348394693256,1537.3728065273451,1540.0891307241764,1544.9112404853372,1548.928386248348,1548.3244290221521,1545.5140310284642,1537.6350331890858,1529.9749917647653,1520.5141520056573,1515.3715264712816,1518.6672807671953,1530.4246210650322,1542.3361496085292,1550.9910564873894,1557.5009467395928,1562.6599088991397,1564.2955307355364,1563.9102962800764,1569.3975716867944,1575.557359884508,1580.571636605542,1579.8650472790275,1584.4286267320028,1589.6125422152832,1596.4674551531928,1600.6669982535118,1606.9901804528317,1613.6499703602428,1613.6347088920986,1613.1207177444533,1609.4448610691147,1608.3005297647048,1604.1006679267407,1602.7283406794788,1605.1127630235944,1611.2016477206566,1620.5901846295496,1631.2150826384338,1641.855999377738,1648.2028695784982,1649.403352920083,1647.0780633069155,1646.174271513484,1644.709755026056,1643.7868932557483,1642.9139980289463,1648.2403957403942,1654.3814772183305,1661.8506666877627,1661.3962677781192,1665.4988936302532,1669.0106771194896,1681.2170489945402,1691.9671606985435,1701.224864071992,1708.069865733084,1712.0726581821318,1718.9770342743357,1732.127827140103,1745.5143957175053,1758.001202448468,1770.7666509098758,1791.0498484313812,1813.5428361454065,1826.7915723541207,1840.4310260336108,1847.5601778598518,1862.1773149012613,1867.6713543264989,1878.0868799841508,1886.3401695716923,1902.4339097357115,1912.8342127056349,1926.351835627996,1936.6509505582692,1958.589765313274,1972.143791214454,1983.053220134107,1983.1560985898677,1986.9661754081299,1983.8598372875547,1985.3017492951294,1986.9569014639535,1998.1428990196698,2009.6952543558054,2019.903097818416,2031.3770407601867,2044.8041920866729,2058.7138455316904,2065.7911469220653,2064.1837844813376,2061.231915529866,2056.5983077008564,2058.6977868701724,2061.763899398563,2075.1959958008415,2084.1391678199016,2096.134098620278,2102.3923109905813,2112.9277873312676,2119.3209404802433,2125.4139991779903,2124.7901021557436,2122.31337443018,2120.9318192900823,2122.744273082568,2126.0325461035154,2131.913009090938,2142.2682374197093,2152.016809100822,2156.772453219718,2155.0416347697624,2154.97561726306,2154.527876424273,2154.179611419135,2150.218148727191,2146.5730168810687,2143.428599925148
395209,6,"Washington, DC",msa,VA,2004.611049810044,2018.6618120429366,2035.2166193176702,2046.1970349078695,2054.206121532707,2063.6154572272544,2067.6196598870893,2064.9686345593527,2063.9851393525514,2058.4332802791696,2057.1573123772805,2052.8656685268384,2057.483783273134,2067.2974222433995,2078.0359858952093,2086.27306308187,2094.5665032716247,2103.5424917838614,2111.598604522953,2114.291347692414,2105.8669356178357,2099.8296942916095,2092.2471031271693,2090.3311288748814,2095.7771236402455,2108.67649543909,2127.951164248465,2141.435580842011,2151.508168101894,2160.4009383783914,2163.5028839781185,2162.0396996005984,2157.6921800302794,2151.5183301733555,2148.301857110473,2150.351302236819,2157.2013067894104,2165.620817287908,2175.882015412551,2189.9510496840257,2202.957986931207,2211.6049002398404,2215.6462223729395,2218.492398359478,2214.634046774462,2208.5083397707476,2206.6119640456814,2207.115813513644,2211.329638218256,2222.703327187536,2240.913242288281,2259.731421638409,2269.71833289538,2275.8543108557255,2277.552431143467,2280.9992744354436,2282.933243113355,2280.7104578294916,2273.576175633644,2265.4748714199977,2271.302485217032,2282.8383647663923,2305.11830161482,2318.5082545010882,2331.548084548465,2336.5045387952136,2345.7931547717862,2354.0554581275915,2361.7420741528076,2359.6015233283724,2359.068893214152,2357.744738236556,2369.1784409428383,2377.740576954294,2398.4941382233396,2420.6415518431754,2450.6911156241836,2471.761090041975,2491.524442682629,2506.5945006577017,2521.034829028189,2529.7544563698702,2534.5375127558686,2535.8667415931964,2547.6883169375915,2569.5744541944823,2594.104241803113,2624.4527350830062,2645.653524663344,2668.991470486479,2681.789532920216,2689.92648767528,2699.918287128634,2697.43304691889,2698.8169638824543,2701.685067611067,2711.860846816298,2726.097310983809,2741.195719965795,2763.164474132888,2787.0853361397812,2810.5583905691033,2828.868714614678,2842.7905382546046,2845.0094378966683,2849.881913706461,2851.5316905378804,2857.027333676184,2861.8371334047556,2877.0553996687136,2901.068781910465,2928.5451260167843,2948.6586737418347,2970.2679961710687,2984.2417240838995,2994.9011689448284,2994.8740540930894,2990.153758677952,2992.1524002873794,2987.658678999631,3006.368125074745,3025.6266212926876,3060.815425289155,3070.4513354291507,3077.0835245654603,3080.3658739607213,3092.8323572463814,3098.658028139488,3100.4531787488013,3085.7168567289195,3076.398212652467,3066.136184355027
394974,7,"Philadelphia, PA",msa,PA,1269.322051981945,1276.6274407187086,1287.9949428763448,1293.9296679931153,1300.6118212933677,1303.9623288876267,1308.355413415211,1309.0280166506827,1309.7250926037018,1309.2866853641494,1305.9577786703373,1305.1626091443175,1305.8935603482346,1312.7898805828304,1321.221629600247,1331.4499002861778,1338.8209934021713,1345.5959263712805,1346.9241879168674,1347.779912896653,1343.0227098947714,1341.7333889131714,1343.7780631454839,1348.7821414589182,1354.4196214948936,1361.349149222312,1371.272268907945,1380.4256267194655,1385.950496376124,1386.2429170770063,1387.6704317106771,1388.7471086225746,1391.9415188073335,1394.8222573670832,1396.6301960015837,1397.6695639345685,1396.670375009126,1402.1887103756817,1414.2645009572966,1426.3827438086632,1436.8158222550755,1440.941178355251,1440.4412000840673,1438.2257600284538,1439.5818714796092,1443.8933003370425,1449.0877736666248,1449.1742708582594,1453.6843988364951,1460.9233053456785,1471.1576935326805,1481.8124779497434,1489.4592237674149,1497.0166897247304,1499.3794055391274,1499.65613497692,1499.4474294162037,1503.689393063222,1505.893943940309,1509.847660218487,1511.795861216604,1520.1622090615106,1530.6427411068933,1536.7645021744122,1543.8672697248237,1549.3173801478572,1561.3059135564843,1568.8316418581592,1577.9257282800017,1582.623780758363,1587.599879960445,1594.9881066099815,1607.1397611983052,1620.599885026674,1627.6788460024409,1641.5735494896796,1657.6731251423012,1673.8396431097542,1686.37335103637,1699.5228474852827,1701.7788296758768,1714.3900018055513,1728.344876239135,1753.3619015091251,1766.6197786387338,1774.5111054785186,1787.8312311663242,1800.7775375153328,1816.1058499814933,1829.3928114598211,1842.1448835524166,1853.6316919062688,1861.4483655114616,1862.8018445796042,1866.1746715329527,1865.4466746272478,1873.9600927275587,1882.4369667336011,1897.0336091378695,1909.0595467447922,1916.6557858290926,1923.8314228806212,1930.2549090839564,1937.9839011823483,1952.3526712054077,1968.7820298541772,1978.8308956977887,1979.2955826274342,1981.1635553863287,1989.5208684544984,2004.089426101004,2014.1634964918953,2024.4341204357995,2029.8781480757575,2032.5901874565575,2042.766254952314,2054.1063923390316,2068.5065827081644,2077.689313902569,2088.0468294914704,2095.324689165348,2104.453401645839,2102.2416831983965,2105.90048791084,2109.0629118220395,2115.7572400636236,2127.2259314153143,2130.8890608049983,2141.0541611039953,2141.999187216947,2143.7926619493223,2146.3086184632757
394856,8,"Miami, FL",msa,FL,1683.2532742080407,1687.7015897702045,1698.1543985540372,1707.5643725692064,1715.5581217525596,1722.5788103834743,1732.514384872106,1743.067016347988,1754.4286409503093,1762.2315499115357,1774.8140729863717,1779.508826001107,1787.5795604863627,1784.5842222292745,1788.3876477579838,1789.3147722090268,1797.4798604932,1798.5276157016763,1803.8479326735196,1807.4480243400346,1816.2881812518099,1819.4490087205354,1825.5640767313275,1825.1329802436921,1830.2106141341335,1836.9886916000942,1850.3420584735852,1857.3331674191454,1860.294002210567,1864.6035739482572,1873.219341473605,1881.4508276247877,1886.684970040405,1893.784789965367,1897.68956904035,1903.269219920966,1906.4452683626287,1912.218419542026,1917.9990200211646,1925.6557030460979,1932.415022184764,1937.129540102127,1939.552737708849,1946.8144158217933,1953.5664280510116,1963.847440908647,1969.0908148565345,1969.2619922983902,1969.4645099050542,1974.0865561148266,1986.565818635851,1992.5727498374624,1997.5934142796511,2002.87936856505,2009.8226163661632,2013.6779302740042,2022.5428862366618,2036.4876202020976,2050.620437248778,2055.9210439939907,2052.470082566771,2056.0811946096765,2058.9557245811116,2062.1640876566476,2061.6307298070324,2070.9817915975905,2089.6549611468513,2108.1032569539198,2130.857590799242,2163.9774517224414,2193.707525110369,2216.252161052414,2223.974298491152,2239.0539079731784,2251.0217292438383,2280.5988110124376,2315.962021496975,2372.3204963422236,2431.715326897743,2498.2826362438514,2565.788436036004,2615.4390259278775,2673.593622610544,2722.274509518407,2775.526888279122,2811.552489795376,2855.3157335494016,2911.6545137138723,2973.528569006841,3022.4146552607795,3053.2258723392856,3072.791197914219,3078.871766519193,3090.6618653994615,3097.393476289799,3103.587890374643,3095.83999624004,3090.6301322279546,3097.121624576987,3114.849240786807,3135.141611185191,3156.6584579197106,3165.5251352382966,3174.8850271834863,3183.8430692867587,3203.8971604059006,3212.723895922815,3202.855105695543,3196.260870083793,3204.1834631468323,3223.233210636109,3239.2929540147165,3247.6355764756986,3256.1204024616227,3266.0489050680508,3278.0015827585967,3284.9891274921906,3281.2161880647805,3283.9994241673985,3288.449562872751,3293.1057757554704,3298.034267623166,3309.6794492578024,3322.4926794481325,3326.2602896562266,3329.1141719826383,3331.7121340833546,3328.895488774615,3322.136701689013,3330.9152479276913,3327.8541339487424,3337.0509554100445
394347,9,"Atlanta, GA",msa,GA,1089.2700745837778,1095.2781724580423,1097.9539654180785,1107.4296833473625,1115.6399719250264,1127.8817853636085,1133.9775342838416,1136.9672746470396,1136.7077174847784,1136.5858078849083,1136.1226343742353,1139.9345293013225,1145.246168191148,1153.534466682661,1159.7351019834655,1167.3131916630825,1176.7172594815192,1186.737939138187,1195.2241038681582,1198.8024234491206,1197.9678518758217,1197.508061163384,1196.7187127734842,1199.6008409478263,1204.4824196863635,1213.817768823277,1225.9053653949734,1237.9710863977177,1250.0801845821018,1260.2538644068338,1269.4972740178484,1272.0423203948417,1273.897693287894,1270.5492142424764,1276.0507817090254,1278.0150279962859,1285.7949604838077,1290.5987337651977,1303.4543604333699,1314.662916131656,1326.3670705635716,1332.7695787363486,1338.2770424614519,1340.0453403590873,1341.6291693096396,1345.6851931180709,1350.716626798339,1354.9091223301814,1359.6210310798067,1366.8695363656082,1379.2118848668897,1391.8995656604488,1403.6503401290568,1413.236033448939,1418.215470473777,1421.0852500778838,1422.812591458777,1425.0400273354453,1427.680213751468,1429.4764022415675,1433.9063307933072,1442.9003192729551,1455.554910865588,1466.2362544057519,1476.7076692911942,1489.065901014513,1504.4725988925072,1521.1943948346536,1535.6942314832834,1549.7555884315927,1560.2423099538748,1570.7801960178979,1584.9941113195832,1604.3959583713938,1626.7121355994775,1652.982445356666,1678.768867068413,1708.549748081391,1734.4391000493836,1766.475490977382,1790.3037472446729,1813.2879061415558,1824.0327793262268,1831.4763594067579,1838.3215921233354,1847.9911018384032,1863.4340964480639,1877.814210251298,1896.9367119099948,1919.230445092852,1944.264368090614,1962.3812171648826,1971.7801263473707,1974.8422209854123,1973.3060974846242,1980.6724847119124,1981.4301054973437,1988.3862614630873,1992.5308765314626,2000.931622617706,2008.9011741323945,2013.5929321059664,2022.1581553428673,2027.799054004448,2031.386491930573,2024.0623782051925,2016.2625384314304,2014.8753499928623,2029.4683719180837,2049.950017114,2065.301811471786,2072.4264219827946,2073.8163335922,2083.434678092614,2092.3304394592683,2101.7753376472638,2099.970270667878,2098.3936149843303,2096.6435287348136,2102.27061251271,2110.6082787143787,2127.5657903036836,2137.787281818317,2149.9801826808007,2153.3855280902126,2159.5068813748176,2166.4484385315413,2173.912913944512,2179.753868057609,2176.221523618202,2169.506747564256,2165.3274608839406
